0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:05 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 1897
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:05 -0200] "GET /SalaArcoIris/js/cadastroLivro.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:05 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:06 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:06 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:06 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:06 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:06 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:07 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:07 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:07 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:08 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:10:08 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:02 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:02 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:02 -0200] "GET /SalaArcoIris/css/base.css HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:02 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:02 -0200] "GET /SalaArcoIris/js/cadastroLivro.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:02 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:02 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:02 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:02 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:03 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
